date,category,date,value,label
2018-01-12,Sign Repair,2018-01-12,16,0
2018-01-12,Street Defects,2018-01-12,28,0
2018-01-12,Street and Sidewalk Cleaning,2018-01-12,588,0
2018-01-12,Streetlights,2018-01-12,23,0
2018-01-12,Temporary Sign Request,2018-01-12,27,0
2018-01-12,Tree Maintenance,2018-01-12,23,0
2018-01-13,311 External Request,2018-01-13,1,0
2018-01-13,Abandoned Vehicle,2018-01-13,35,0
2018-01-13,Blocked Street or SideWalk,2018-01-13,6,0
2018-01-13,Catch Basin Maintenance,2018-01-13,1,0
2018-01-13,Color Curb,2018-01-13,1,0
2018-01-13,Damaged Property,2018-01-13,31,0
2018-01-13,Encampments,2018-01-13,166,0
2018-01-13,General Request - 311CUSTOMERSERVICECENTER,2018-01-13,1,0
2018-01-13,General Request - ANIMAL CARE CONTROL,2018-01-13,7,0
2018-01-13,General Request - BUILDING INSPECTION,2018-01-13,3,0
2018-01-13,General Request - DPH,2018-01-13,3,0
2018-01-13,General Request - MTA,2018-01-13,8,0
2018-01-13,General Request - PUBLIC WORKS,2018-01-13,10,0
2018-01-13,General Request - PUC,2018-01-13,7,0
2018-01-13,General Request - SFPD,2018-01-13,1,0
2018-01-13,Graffiti,2018-01-13,216,0
2018-01-13,Homeless Concerns,2018-01-13,107,0
2018-01-13,Illegal Postings,2018-01-13,4,0
2018-01-13,Litter Receptacles,2018-01-13,8,0
2018-01-13,MUNI Feedback,2018-01-13,32,0
2018-01-13,Noise Report,2018-01-13,17,0
2018-01-13,Rec and Park Requests,2018-01-13,21,0
2018-01-13,Residential Building Request,2018-01-13,3,0
2018-01-13,SFHA Requests,2018-01-13,8,0
2018-01-13,Sewer Issues,2018-01-13,21,0
2018-01-13,Sidewalk or Curb,2018-01-13,8,0
2018-01-13,Sign Repair,2018-01-13,6,0
2018-01-13,Street Defects,2018-01-13,13,0
2018-01-13,Street and Sidewalk Cleaning,2018-01-13,430,0
2018-01-13,Streetlights,2018-01-13,11,0
2018-01-13,Temporary Sign Request,2018-01-13,4,0
2018-01-13,Tree Maintenance,2018-01-13,10,0
2018-01-14,311 External Request,2018-01-14,1,0
2018-01-14,Abandoned Vehicle,2018-01-14,47,0
2018-01-14,Blocked Street or SideWalk,2018-01-14,15,0
2018-01-14,Catch Basin Maintenance,2018-01-14,3,0
2018-01-14,Damaged Property,2018-01-14,21,0
2018-01-14,Encampments,2018-01-14,120,0
2018-01-14,General Request - 311CUSTOMERSERVICECENTER,2018-01-14,4,0
2018-01-14,General Request - ANIMAL CARE CONTROL,2018-01-14,7,0
2018-01-14,General Request - COUNTY CLERK,2018-01-14,5,0
2018-01-14,General Request - DPH,2018-01-14,3,0
2018-01-14,General Request - MTA,2018-01-14,8,0
